date,ccu
2021-07-31,4781380.0
2021-08-01,4855768.0
2021-08-02,4906920.0
2021-08-03,4919468.0
2021-08-04,4751777.0
2021-08-05,4898756.0
2021-08-06,4861733.0
2021-08-07,4922539.0
2021-08-08,5020230.0
2021-08-09,4941826.0
2021-08-10,4789960.0
2021-08-11,4664052.0
2021-08-12,4647948.0
2021-08-13,4659924.0
2021-08-14,4992584.0
2021-08-15,5068106.0
2021-08-16,4565422.0
2021-08-17,4595213.0
2021-08-18,4459707.0
2021-08-19,6584212.0
2021-08-20,5245966.0
2021-08-21,5794906.0
2021-08-22,5751593.0
2021-08-23,4751406.0
2021-08-24,4668646.0
2021-08-25,4592078.0
2021-08-26,4792643.0
2021-08-27,4989803.0
2021-08-28,5792902.0
2021-08-29,5948774.0
2021-08-30,4727741.0
2021-08-31,4615916.0
2021-09-01,4443642.0
2021-09-02,4446797.0
2021-09-03,4706013.0
2021-09-04,5801506.0
2021-09-05,5583376.0
2021-09-06,5527540.0
2021-09-07,4271603.0
2021-09-08,3998354.0
2021-09-09,3948294.0
2021-09-10,4198358.0
2021-09-11,5790298.0
2021-09-12,5702276.0
2021-09-13,4016202.0
2021-09-14,3724697.0
2021-09-15,3411491.0
2021-09-16,4162015.0
2021-09-17,4208772.0
2021-09-18,5853786.0
2021-09-19,5679287.0
2021-09-20,4003822.0
2021-09-21,3730436.0
2021-09-22,3607217.0
2021-09-23,3549475.0
2021-09-24,4143237.0
2021-09-25,5452914.0
2021-09-26,5503477.0
2021-09-27,3841267.0
2021-09-28,3821932.0
2021-09-29,3871817.0
2021-09-30,3953238.0
2021-10-01,4330868.0
2021-10-02,5971647.0
2021-10-03,5678830.0
2021-10-04,4058061.0
2021-10-05,3962524.0
2021-10-06,3806498.0
2021-10-07,3971659.0
2021-10-08,4579217.0
2021-10-09,5787520.0
2021-10-10,5706001.0
2021-10-11,4872504.0
2021-10-12,4039800.0
2021-10-13,4009935.0
2021-10-14,4135953.0
2021-10-15,4776441.0
2021-10-16,6016246.0
2021-10-17,5867130.0
2021-10-18,4078680.0
2021-10-19,3830922.0
2021-10-20,3759415.0
2021-10-21,3880826.0
2021-10-22,4367968.0
2021-10-23,5991952.0
2021-10-24,6063736.0
2021-10-25,4102891.0
2021-10-26,3962802.0
2021-10-27,4018343.0
2021-10-28,5139984.0
2021-10-29,1292591.0
2021-10-30,
2021-10-31,1663904.0
2021-11-01,4469114.0
2021-11-02,4737449.0
2021-11-03,4172362.0
2021-11-04,4261077.0
2021-11-05,4749813.0
2021-11-06,6212802.0
2021-11-07,6205276.0
2021-11-08,3979628.0
2021-11-09,3893010.0
2021-11-10,3897882.0
2021-11-11,4709067.0
2021-11-12,4652398.0
2021-11-13,6129979.0
2021-11-14,6044299.0
2021-11-15,4190069.0
2021-11-16,3814586.0
2021-11-17,3898147.0
2021-11-18,4017254.0
2021-11-19,4333134.0
2021-11-20,5997916.0
2021-11-21,5847174.0
2021-11-22,4410124.0
2021-11-23,4438282.0
2021-11-24,4909193.0
2021-11-25,4983958.0
2021-11-26,5656223.0
2021-11-27,5836332.0
2021-11-28,5737792.0
2021-11-29,3911449.0
2021-11-30,3828295.0
2021-12-01,4255836.0
2021-12-02,4145715.0
2021-12-03,4546799.0
2021-12-04,6022665.0
2021-12-05,5797231.0
2021-12-06,3956363.0
2021-12-07,3925880.0
2021-12-08,3976128.0
2021-12-09,4078859.0
2021-12-10,4612479.0
2021-12-11,6075720.0
2021-12-12,5927086.0
2021-12-13,4135574.0
2021-12-14,4108399.0
2021-12-15,4111729.0
2021-12-16,4178421.0
2021-12-17,4641671.0
2021-12-18,6161518.0
2021-12-19,5806337.0
2021-12-20,5557772.0
2021-12-21,5584073.0
2021-12-22,5630418.0
2021-12-23,5693720.0
2021-12-24,5480583.0
2021-12-25,5084342.0
2021-12-26,5417383.0
2021-12-27,5719484.0
2021-12-28,5931398.0
2021-12-29,6127133.0
2021-12-30,6110554.0
2021-12-31,5505437.0
2022-01-01,5991151.0
2022-01-02,5959337.0
2022-01-03,5601703.0
2022-01-04,5298150.0
2022-01-05,5019985.0
2022-01-06,5034616.0
2022-01-07,5365166.0
2022-01-08,6374993.0
2022-01-09,6161353.0
2022-01-10,4614410.0
2022-01-11,4545583.0
2022-01-12,4564775.0
2022-01-13,4584144.0
2022-01-14,5245116.0
2022-01-15,6481345.0
2022-01-16,6335297.0
2022-01-17,6260800.0
2022-01-18,4836945.0
2022-01-19,4597586.0
2022-01-20,4839461.0
2022-01-21,5366564.0
2022-01-22,6534567.0
2022-01-23,6584661.0
2022-01-24,4772608.0
2022-01-25,4679977.0
2022-01-26,4709022.0
2022-01-27,4791323.0
2022-01-28,5372543.0
2022-01-29,6788415.0
2022-01-30,6621936.0
2022-01-31,4834147.0
2022-02-01,4654242.0
2022-02-02,4703609.0
2022-02-03,5065837.0
2022-02-04,5578588.0
2022-02-05,6765076.0
2022-02-06,6552065.0
2022-02-07,4412948.0
2022-02-08,4263143.0
2022-02-09,4185556.0
2022-02-10,4250825.0
2022-02-11,4735736.0
2022-02-12,5713515.0
2022-02-13,6546571.0
2022-02-14,4454157.0
2022-02-15,4275740.0
2022-02-16,4292431.0
2022-02-17,4405236.0
2022-02-18,5280544.0
2022-02-19,6498597.0
2022-02-20,6283084.0
2022-02-21,5624256.0
2022-02-22,4381680.0
2022-02-23,4203107.0
2022-02-24,4309871.0
2022-02-25,4827674.0
2022-02-26,6026403.0
2022-02-27,5998798.0
2022-02-28,4314251.0
2022-03-01,3997328.0
2022-03-02,4014423.0
2022-03-03,3749238.0
2022-03-04,4338920.0
2022-03-05,6243267.0
2022-03-06,6186065.0
2022-03-07,3999556.0
2022-03-08,3878236.0
2022-03-09,3919293.0
2022-03-10,3821081.0
2022-03-11,4606006.0
2022-03-12,6390488.0
2022-03-13,6276217.0
2022-03-14,4301809.0
2022-03-15,4162653.0
2022-03-16,4142856.0
2022-03-17,4344287.0
2022-03-18,4880611.0
2022-03-19,6143670.0
2022-03-20,5982815.0
2022-03-21,4069559.0
2022-03-22,3772603.0
2022-03-23,3808357.0
2022-03-24,3861070.0
2022-03-25,4483734.0
2022-03-26,6238193.0
2022-03-27,6233948.0
2022-03-28,4026394.0
2022-03-29,3899217.0
2022-03-30,3988814.0
2022-03-31,3944159.0
2022-04-01,4544876.0
2022-04-02,6173510.0
2022-04-03,6194566.0
2022-04-04,4044206.0
2022-04-05,3976473.0
2022-04-06,3986514.0
2022-04-07,3968230.0
2022-04-08,4477863.0
2022-04-09,6091379.0
2022-04-10,5976486.0
2022-04-11,4281797.0
2022-04-12,4203719.0
2022-04-13,4277157.0
2022-04-14,4530369.0
2022-04-15,5575672.0
2022-04-16,5841628.0
2022-04-17,5617296.0
2022-04-18,4860042.0
2022-04-19,4183292.0
2022-04-20,4048175.0
2022-04-21,4294245.0
2022-04-22,4691948.0
2022-04-23,6029967.0
2022-04-24,5928689.0
2022-04-25,4153907.0
2022-04-26,3836239.0
2022-04-27,3773595.0
2022-04-28,3667995.0
2022-04-29,4216417.0
2022-04-30,5902616.0
2022-05-01,6011699.0
2022-05-02,4126859.0
2022-05-03,3812877.0
2022-05-04,3462093.0
2022-05-05,3615496.0
2022-05-06,3972277.0
